id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479f570024c3beef:0x70fc5813b609a1e7,Trattoria La Vera,90408,"Uhlandstraße 21, 90408 Nürnberg",4.9,177,Restaurant,49.4645172,11.0757512,25,Uhlandstraße,true,2,5,3.5,1.94,4.824,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Trattoria+La+Vera/data=!4m7!3m6!1s0x479f570024c3beef:0x70fc5813b609a1e7!8m2!3d49.4645172!4d11.0757512!16s%2Fg%2F11w9sppm42!19sChIJ777DJABXn0cR56EJthNY_HA?authuser=0&hl=de&rclk=1,2026-05-02T11:10:31Z,active,success,None
0x479f57cb2dc3c34f:0x97fa9c83d83b592a,VINERIA Nürnberg,90408,"Kleinreuther Weg 87, 90408 Nürnberg",4.8,1249,Restaurant,49.4705233,11.0707154,25,Uhlandstraße,true,101,150,125.5,9.13,4.453,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/VINERIA+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57cb2dc3c34f:0x97fa9c83d83b592a!8m2!3d49.4705233!4d11.0707154!16s%2Fg%2F1tctwk8x!19sChIJT8PDLctXn0cRKlk72IOc-pc?authuser=0&hl=de&rclk=1,2026-05-02T11:10:37Z,active,success,None
0x479f57b5b659f9ef:0xda25a3355c6bbeb5,Wirtshaus Frankenstube,90408,"Pilotystraße 73, 90408 Nürnberg",4.3,1019,Restaurant,49.4651636,11.0728655,25,Uhlandstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/Wirtshaus+Frankenstube/data=!4m7!3m6!1s0x479f57b5b659f9ef:0xda25a3355c6bbeb5!8m2!3d49.4651636!4d11.0728655!16s%2Fg%2F1tj95dsm!19sChIJ7_lZtrVXn0cRtb5rXDWjJdo?authuser=0&hl=de&rclk=1,2026-05-02T11:11:03Z,active,success,None
0x479f57b69efa1063:0x4ca8961c1a265803,Wäi-daham,90408,"Pilotystraße 44, 90408 Nürnberg",4.6,178,Bar,49.4635449,11.0747946,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/W%C3%A4i-daham/data=!4m7!3m6!1s0x479f57b69efa1063:0x4ca8961c1a265803!8m2!3d49.4635449!4d11.0747946!16s%2Fg%2F1tdzvq87!19sChIJYxD6nrZXn0cRA1gmGhyWqEw?authuser=0&hl=de&rclk=1,2026-05-02T11:15:01Z,active,success,None
0x479f57b415f22d01:0xa0c5c0f5eb5dbca9,Zum wilden Jäger,90408,"Reichstraße 17, 90408 Nürnberg",4.5,320,Restaurant,49.4639021,11.0726426,07,St. Johannis,false,None,None,None,None,None,None,https://www.google.com/maps/place/Zum+wilden+J%C3%A4ger/data=!4m7!3m6!1s0x479f57b415f22d01:0xa0c5c0f5eb5dbca9!8m2!3d49.4639021!4d11.0726426!16s%2Fg%2F1v6p38k2!19sChIJAS3yFbRXn0cRqbxd6_XAxaA?authuser=0&hl=de&rclk=1,2026-05-02T11:11:49Z,active,success,None
0x479f574155deba93:0x29ee28ca9273ecf4,ebl-Café Nürnberg Kaulbachstraße,90408,"Kaulbachstraße 5, 90408 Nürnberg",3,2,Café / Konditorei,49.4613925,11.0771259,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/ebl-Caf%C3%A9+N%C3%BCrnberg+Kaulbachstra%C3%9Fe/data=!4m7!3m6!1s0x479f574155deba93:0x29ee28ca9273ecf4!8m2!3d49.4613925!4d11.0771259!16s%2Fg%2F11xg5l1r3n!19sChIJk7reVUFXn0cR9Oxzksoo7ik?authuser=0&hl=de&rclk=1,2026-05-02T11:17:39Z,active,success,None
0x479f57b6ef857aaf:0xd62a1b67259fb459,ebl-naturkost - Ihr Bio-Fachmarkt,90408,"Kaulbachstraße 5, 90408 Nürnberg",4.3,242,Lebensmittel,49.4614184,11.0771516,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/ebl-naturkost+-+Ihr+Bio-Fachmarkt/data=!4m7!3m6!1s0x479f57b6ef857aaf:0xd62a1b67259fb459!8m2!3d49.4614184!4d11.0771516!16s%2Fg%2F1v_w1c4_!19sChIJr3qF77ZXn0cRWbSfJWcbKtY?authuser=0&hl=de&rclk=1,2026-05-02T10:48:02Z,active,success,None
0x479f57b585eeecdd:0x4d2289ddd189cb83,frida kahlo cocktail & kitchen,90408,"Pleydenwurffstraße 1, 90408 Nürnberg",4.5,992,Restaurant,49.4667367,11.0732218,25,Uhlandstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/frida+kahlo+cocktail+%26+kitchen/data=!4m7!3m6!1s0x479f57b585eeecdd:0x4d2289ddd189cb83!8m2!3d49.4667367!4d11.0732218!16s%2Fg%2F11bc7131hd!19sChIJ3ezuhbVXn0cRg8uJ0d2JIk0?authuser=0&hl=de&rclk=1,2026-05-02T11:14:33Z,active,success,None
0x479f57a9d4df7b17:0x6769693068e34684,Backstube,90409,"Löbleinstraße 21A, 90409 Nürnberg",4.1,44,Bäckerei,49.4631916,11.0852512,08,Pirckheimerstraße,false,None,None,None,None,None,None,https://www.google.com/maps/place/Backstube/data=!4m7!3m6!1s0x479f57a9d4df7b17:0x6769693068e34684!8m2!3d49.4631916!4d11.0852512!16s%2Fg%2F11fm4r8nx9!19sChIJF3vf1KlXn0cRhEbjaDBpaWc?authuser=0&hl=de&rclk=1,2026-05-02T11:08:42Z,active,success,None
0x479f57d623a08c81:0x2513215945f20c07,Beetea,90409,"Bee Tea, Äußere Bayreuther Str. 25, 90409 Nürnberg",4.7,169,Café / Konditorei,49.4658438,11.0964523,27,Veilhof,false,None,None,None,None,None,None,https://www.google.com/maps/place/Beetea/data=!4m7!3m6!1s0x479f57d623a08c81:0x2513215945f20c07!8m2!3d49.4658438!4d11.0964523!16s%2Fg%2F11rcqr1_62!19sChIJgYygI9ZXn0cRBwzyRVkhEyU?authuser=0&hl=de&rclk=1,2026-05-02T11:26:38Z,active,success,None
