rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
117,MOGGI Asian Kitchen & Bar GmbH,90403,"Katharinengasse 14, 90403 Nürnberg",4.5,236,21–50,21,50,35.5,13.08,4.042,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/MOGGI+Asian+Kitchen+%26+Bar+GmbH/data=!4m7!3m6!1s0x479f570029adf7b3:0x4105d60dafa6d1f5!8m2!3d49.4511438!4d11.0819695!16s%2Fg%2F11lmnhpjpb!19sChIJs_etKQBXn0cR9dGmrw3WBUE?authuser=0&hl=de&rclk=1
118,Europa Hotel Fürth,90763,"Johann-Zumpe-Straße 18, 90763 Fürth",3.5,235,21–50,21,50,35.5,13.12,3.172,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Europa+Hotel+F%C3%BCrth/data=!4m10!3m9!1s0x479f542fafeb168b:0xdacd9f7fbd743a69!5m2!4m1!1i2!8m2!3d49.4455336!4d10.9952183!16s%2Fg%2F11clsr1yfw!19sChIJixbrry9Un0cRaTp0vX-fzdo?authuser=0&hl=de&rclk=1
119,Istanbul Döner Burger Pizza,90482,"Marthastraße 40, 90482 Nürnberg",4.8,229,21–50,21,50,35.5,13.42,4.29,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Istanbul+D%C3%B6ner+Burger+Pizza/data=!4m7!3m6!1s0x479f5775df234b31:0x478a1e7ae1dfd2a2!8m2!3d49.4535352!4d11.113926!16s%2Fg%2F11q7t7b6x7!19sChIJMUsj33VXn0cRotLf4Xoeikc?authuser=0&hl=de&rclk=1
120,City cut - Nürnberg,90478,"Schweiggerstraße 6, 90478 Nürnberg",4.9,205,21–50,21,50,35.5,14.76,4.324,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/City+cut+-+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57edd19893eb:0x181b056e9979e3ee!8m2!3d49.4416299!4d11.0908314!16s%2Fg%2F11sdbg94_y!19sChIJ65OY0e1Xn0cR7uN5mW4FGxg?authuser=0&hl=de&rclk=1
121,Steak Döner,90402,"Ludwigstraße 51, 90402 Nürnberg",4.8,197,21–50,21,50,35.5,15.27,4.22,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Steak+D%C3%B6ner/data=!4m7!3m6!1s0x479f5722377937f5:0x9588b2cf883f0e3c!8m2!3d49.4490458!4d11.0687113!16s%2Fg%2F11ysb7k_s2!19sChIJ9Td5NyJXn0cRPA4_iM-yiJU?authuser=0&hl=de&rclk=1
122,Blok,90402,"Königstraße 76, 90402 Nürnberg",4.5,190,21–50,21,50,35.5,15.74,3.949,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Blok/data=!4m7!3m6!1s0x479f57a728da65d5:0x9c14ebf4a3312b92!8m2!3d49.447842!4d11.0805297!16s%2Fg%2F1pp2x9f_8!19sChIJ1WXaKKdXn0cRkisxo_TrFJw?authuser=0&hl=de&rclk=1
123,Waschsalon Team Tafelfeldstr 29,90459,"Tafelfeldstraße 29, 90459 Nürnberg",4.8,185,21–50,21,50,35.5,16.1,4.188,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Waschsalon+Team+Tafelfeldstr+29/data=!4m7!3m6!1s0x479f57092ba37747:0xd69a9ea210c2a72e!8m2!3d49.4413884!4d11.0761384!16s%2Fg%2F12hnfxx44!19sChIJR3ejKwlXn0cRLqfCEKKemtY?authuser=0&hl=de&rclk=1
124,Euphrat-Schnellimbiss,90459,"Aufseßpl. 17, 90459 Nürnberg",4.8,177,21–50,21,50,35.5,16.71,4.165,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Euphrat-Schnellimbiss/data=!4m7!3m6!1s0x479f57f2a6cf0b75:0xb655bdcafa0ebf41!8m2!3d49.4412512!4d11.0801989!16s%2Fg%2F11ghpzf_82!19sChIJdQvPpvJXn0cRQb8O-sq9VbY?authuser=0&hl=de&rclk=1
125,Pizza da rosa,90473,"Görlitzer Str. 20, 90473 Nürnberg",4.6,165,21–50,21,50,35.5,17.71,3.963,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizza+da+rosa/data=!4m7!3m6!1s0x479f5a27b22403a5:0x828b62bba6f0b969!8m2!3d49.3972987!4d11.1338485!16s%2Fg%2F1tcwkkl4!19sChIJpQMksidan0cRabnwprtii4I?authuser=0&hl=de&rclk=1
126,Pizzeria Pomodoro,90453,"Seitzstraße 3, 90453 Nürnberg",4.7,164,21–50,21,50,35.5,17.79,4.042,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizzeria+Pomodoro/data=!4m7!3m6!1s0x479f574c11b9eea9:0x69d7f890343519d7!8m2!3d49.3767735!4d11.0249082!16s%2Fg%2F11clzh762k!19sChIJqe65EUxXn0cR1xk1NJD412k?authuser=0&hl=de&rclk=1
127,Özcan Döner,90522,"Rothenburger Str. 54, 90522 Oberasbach",4.7,107,21–50,21,50,35.5,24.91,3.778,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/%C3%96zcan+D%C3%B6ner/@49.4354939,10.972451,17z/data=!3m1!4b1!4m6!3m5!1s0x479f5500056e24d1:0xab85e5c7ed35cf35!8m2!3d49.4354939!4d10.972451!16s%2Fg%2F11x8d44ynh?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D&hl=de"
128,IU & On,90419,"Roritzerstraße 10, 90419 Nürnberg",4.8,93,21–50,21,50,35.5,27.63,3.75,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/IU+%26+On/data=!4m7!3m6!1s0x479f57b3a5ee7c67:0x9b98e2f1b25fc842!8m2!3d49.4603596!4d11.0703826!16s%2Fg%2F1tdc_p4g!19sChIJZ3zupbNXn0cRQshfsvHimJs?authuser=0&hl=de&rclk=1
129,Medic-Center Rollnerstraße - Dermatologie,90408,"Rollnerstraße 28, 90408 Nürnberg",4.1,93,21–50,21,50,35.5,27.63,3.244,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Medic-Center+Rollnerstra%C3%9Fe+-+Dermatologie/data=!4m7!3m6!1s0x479f57b98c2b1fbd:0x6b1b530efce2193!8m2!3d49.4617387!4d11.082662!16s%2Fg%2F1tl7mqck!19sChIJvR8rjLlXn0cRkyHO7zC1sQY?authuser=0&hl=de&rclk=1
130,Waschsalon Team Schweiggerstr Nürnberg,90478,"Schweiggerstraße 32, 90478 Nürnberg",4.8,86,21–50,21,50,35.5,29.22,3.69,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Waschsalon+Team+Schweiggerstr+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f5775d5a45a95:0x5faa784143ac716f!8m2!3d49.442312!4d11.093001!16s%2Fg%2F1tg_w29b!19sChIJlVqk1XVXn0cRb3GsQ0F4ql8?authuser=0&hl=de&rclk=1
131,Ankara Bäckerei Nürnberg,90443,"Gibitzenhofstraße 72, 90443 Nürnberg",4.6,84,21–50,21,50,35.5,29.71,3.531,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ankara+B%C3%A4ckerei+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57052a417ba3:0x79f86a1ea240ecfb!8m2!3d49.4370999!4d11.0674544!16s%2Fg%2F11dxs8vjyh!19sChIJo3tBKgVXn0cR--xAoh5q-Hk?authuser=0&hl=de&rclk=1
132,Swan Rooms,90402,"Hintere Sterngasse 11, 90402 Nürnberg",4.4,82,21–50,21,50,35.5,30.21,3.373,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Swan+Rooms/data=!4m10!3m9!1s0x479f57fe4ce261c9:0xb34e2f95b79722c1!5m2!4m1!1i2!8m2!3d49.4472512!4d11.0788535!16s%2Fg%2F11l6kplxyg!19sChIJyWHiTP5Xn0cRwSKXt5UvTrM?authuser=0&hl=de&rclk=1
133,Bäckerei Drexler,90473,"Oppelner Str. 223, 90473 Nürnberg",4.6,71,21–50,21,50,35.5,33.33,3.4,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/B%C3%A4ckerei+Drexler/data=!4m7!3m6!1s0x479f597d21130263:0xba3979cbc0e1eff2!8m2!3d49.4015814!4d11.1350744!16s%2Fg%2F11j15mt1_t!19sChIJYwITIX1Zn0cR8u_hwMt5Obo?authuser=0&hl=de&rclk=1
134,Asia Food,90478,"Scheurlstraße 33, 90478 Nürnberg",4.5,66,21–50,21,50,35.5,34.98,3.276,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Asia+Food/data=!4m7!3m6!1s0x479f577515dfd4db:0xba71f40116cc05e7!8m2!3d49.4434872!4d11.0886821!16s%2Fg%2F1pt_1683s!19sChIJ29TfFXVXn0cR5wXMFgH0cbo?authuser=0&hl=de&rclk=1
135,werk:b events GmbH,90491,"Martin-Albert-Straße 1, 90491 Nürnberg",4.7,30,21–50,21,50,35.5,54.2,2.695,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/werk:b+events+GmbH/data=!4m7!3m6!1s0x479f60d0f3198a95:0x9d141530f831cca8!8m2!3d49.4656028!4d11.1265922!16s%2Fg%2F11zx1dpmf!19sChIJlYoZ89Bgn0cRqMwx-DAVFJ0?authuser=0&hl=de&rclk=1
136,Travolta Nürnberg,90403,"Adlerstraße 28, 90403 Nürnberg",4.7,3282,11–20,11,20,15.5,0.47,4.683,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Travolta+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57a636b79c8b:0xf8eaa3c7c945be97!8m2!3d49.4519679!4d11.0753612!16s%2Fg%2F11fxvpyy6w!19sChIJi5y3NqZXn0cRl75Fycej6vg?authuser=0&hl=de&rclk=1
137,Sangam Indisches Restaurant Nürnberg,90402,"Königstraße 87, 90402 Nürnberg",4.7,2390,11–20,11,20,15.5,0.64,4.676,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Sangam+Indisches+Restaurant+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57a728657509:0x4e1ee25672dc0258!8m2!3d49.4481874!4d11.0813143!16s%2Fg%2F1tdc_p48!19sChIJCXVlKKdXn0cRWALcclbiHk4?authuser=0&hl=de&rclk=1
138,Admiral Boutique Kino Deluxe,90402,"Königstraße 11, 90402 Nürnberg",4.7,2054,11–20,11,20,15.5,0.75,4.672,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Admiral+Boutique+Kino+Deluxe/data=!4m7!3m6!1s0x479f57a5e69fc18f:0x451029c45c481a1d!8m2!3d49.451668!4d11.078052!16s%2Fg%2F1tfr95h6!19sChIJj8Gf5qVXn0cRHRpIXMQpEEU?authuser=0&hl=de&rclk=1
139,994 GINZA - Sushi | Izakaya,90443,"Rothenburger Str. 9, 90443 Nürnberg",4.8,1524,11–20,11,20,15.5,1.01,4.762,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/994+GINZA+-+Sushi+%7C+Izakaya/data=!4m7!3m6!1s0x479f5738224e93cf:0xff48f8e6eec8bf11!8m2!3d49.4474678!4d11.062733!16s%2Fg%2F11j5j2krnx!19sChIJz5NOIjhXn0cREb_I7ub4SP8?authuser=0&hl=de&rclk=1
140,LêBar,90402,"Luitpoldstraße 16, 90402 Nürnberg",4.7,1459,11–20,11,20,15.5,1.05,4.661,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/L%C3%AABar/data=!4m7!3m6!1s0x479f57a707651117:0x46b91c554b481989!8m2!3d49.4482537!4d11.0783232!16s%2Fg%2F11cssztjm4!19sChIJFxFlB6dXn0cRiRlIS1UcuUY?authuser=0&hl=de&rclk=1
141,Hotel und Restaurant im Pillhofer,90402,"Königstraße 78, 90402 Nürnberg",4.6,1385,11–20,11,20,15.5,1.11,4.56,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+und+Restaurant+im+Pillhofer/data=!4m10!3m9!1s0x479f57a72ff70bad:0x72982e091be58bd7!5m2!4m1!1i2!8m2!3d49.4478238!4d11.0808299!16s%2Fg%2F1vv2r770!19sChIJrQv3L6dXn0cR14vlGwkumHI?authuser=0&hl=de&rclk=1
142,Zeit & Raum,90403,"Wespennest 2, 90403 Nürnberg",4.5,1334,11–20,11,20,15.5,1.15,4.46,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zeit+%26+Raum/data=!4m7!3m6!1s0x479f57a43fb81169:0xf8f9b2cdd078649d!8m2!3d49.452041!4d11.0817069!16s%2Fg%2F1tdk44y6!19sChIJaRG4P6RXn0cRnWR40M2y-fg?authuser=0&hl=de&rclk=1
143,"SUPOL, Gibitzenhofstr. 172, NBG",90443,"Gibitzenhofstraße 172, 90443 Nürnberg",4.8,1138,11–20,11,20,15.5,1.34,4.749,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,"https://www.google.com/maps/place/SUPOL,+Gibitzenhofstr.+172,+NBG/data=!4m7!3m6!1s0x479f5719b322999f:0x4d06dfc9bd0bbc71!8m2!3d49.4296092!4d11.0653706!16s%2Fg%2F1tfzwh6c!19sChIJn5kisxlXn0cRcbwLvcnfBk0?authuser=0&hl=de&rclk=1"
144,SAN REMO Fine.Food.Hotel,90451,"Eibacher Hauptstraße 85, 90451 Nürnberg",4.6,1107,11–20,11,20,15.5,1.38,4.55,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/SAN+REMO+Fine.Food.Hotel/data=!4m10!3m9!1s0x479f5128dabe577b:0x90d3763a9a275f18!5m2!4m1!1i2!8m2!3d49.40068!4d11.03693!16s%2Fg%2F1tcxc5w1!19sChIJe1e-2ihRn0cRGF8nmjp205A?authuser=0&hl=de&rclk=1
145,WurstDurst,90402,"Luitpoldstraße 13, 90402 Nürnberg",4.6,981,11–20,11,20,15.5,1.56,4.544,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/WurstDurst/data=!4m7!3m6!1s0x479f57a70597a3a9:0x1834c4596c5d900f!8m2!3d49.4479678!4d11.0789255!16s%2Fg%2F1hc0sryvy!19sChIJqaOXBadXn0cRD5BdbFnENBg?authuser=0&hl=de&rclk=1
146,Hidden Kitchen,90429,"Tassilostraße 10, 90429 Nürnberg",4.8,963,11–20,11,20,15.5,1.58,4.74,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hidden+Kitchen/data=!4m7!3m6!1s0x479f57cb9d1603c5:0x6291aff57e12fc7e!8m2!3d49.4615!4d11.02102!16s%2Fg%2F11frsxtwzn!19sChIJxQMWnctXn0cRfvwSfvWvkWI?authuser=0&hl=de&rclk=1
147,Das Moor - Fränkische Spezialitäten,90402,"Färberstraße 3, 90402 Nürnberg",4.4,954,11–20,11,20,15.5,1.6,4.346,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Das+Moor+-+Fr%C3%A4nkische+Spezialit%C3%A4ten/data=!4m7!3m6!1s0x479f57a8dbce5bf7:0x49a1cc5f78d12029!8m2!3d49.4507095!4d11.0732511!16s%2Fg%2F1tg85nf2!19sChIJ91vO26hXn0cRKSDReF_MoUk?authuser=0&hl=de&rclk=1
148,Streetfood 90439,90439,"Rothenburger Str. 134, 90439 Nürnberg",4.9,950,11–20,11,20,15.5,1.61,4.837,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Streetfood+90439/data=!4m7!3m6!1s0x479f573a266d0af3:0x936ab372976c5c10!8m2!3d49.4428789!4d11.0515001!16s%2Fg%2F11s34nz8v9!19sChIJ8wptJjpXn0cREFxsl3KzapM?authuser=0&hl=de&rclk=1
149,Falco Manufaktur,90402,"Luitpoldstraße 12, 90402 Nürnberg",4.7,880,11–20,11,20,15.5,1.73,4.636,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Falco+Manufaktur/data=!4m7!3m6!1s0x479f57837fadcdf3:0xaed3e667b28a7833!8m2!3d49.4482874!4d11.0789462!16s%2Fg%2F11r6z15dd4!19sChIJ882tf4NXn0cRM3iKsmfm064?authuser=0&hl=de&rclk=1
150,Hotel Avenue,90403,"Josephspl. 10, 90403 Nürnberg",4.4,809,11–20,11,20,15.5,1.88,4.336,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Avenue/data=!4m10!3m9!1s0x479f57a8d48c333d:0xc9cad25aed48ca50!5m2!4m1!1i2!8m2!3d49.4516723!4d11.0733562!16s%2Fg%2F1tg4kcqn!19sChIJPTOM1KhXn0cRUMpI7VrSysk?authuser=0&hl=de&rclk=1
151,The Hummus Connection,90403,"Äußerer Laufer Pl. 9, 90403 Nürnberg",4.8,793,11–20,11,20,15.5,1.92,4.727,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/The+Hummus+Connection/data=!4m7!3m6!1s0x479f57d0ecb8c7f7:0x77f7dac1ee830c5b!8m2!3d49.45749!4d11.0867098!16s%2Fg%2F11vcr8phmb!19sChIJ98e47NBXn0cRWwyD7sHa93c?authuser=0&hl=de&rclk=1
152,Cafe - Restaurant - Eventhalle Gartenstadt,90469,"Buchenschlag 1, 90469 Nürnberg",4.7,779,11–20,11,20,15.5,1.95,4.628,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Cafe+-+Restaurant+-+Eventhalle+Gartenstadt/data=!4m7!3m6!1s0x479f574859999f5b:0x6d03e62c3e1a2c46!8m2!3d49.4132297!4d11.0775775!16s%2Fg%2F1tknjfx9!19sChIJW5-ZWUhXn0cRRiwaPizmA20?authuser=0&hl=de&rclk=1
153,McDonald's,90491,"Äußere Bayreuther Str. 80, 90491 Nürnberg",4,749,11–20,11,20,15.5,2.03,3.939,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x479f57ea2a740a21:0xeef641c004f25c4!8m2!3d49.4697558!4d11.1015704!16s%2Fg%2F1tczjgmg!19sChIJIQp0KupXn0cRxCVPABxk7w4?authuser=0&hl=de&rclk=1
154,Fitnesspoint Schwabach,91126,"Hansastraße 5, 91126 Schwabach",4.9,733,11–20,11,20,15.5,2.07,4.819,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Fitnesspoint+Schwabach/data=!4m7!3m6!1s0x479f4ffc30fce391:0xb1654e85ed7a80c9!8m2!3d49.321638!4d11.0578341!16s%2Fg%2F1tfcs6fz!19sChIJkeP8MPxPn0cRyYB67YVOZbE?authuser=0&hl=de&rclk=1
155,LA TRAT-TORIA HOLZOFENPIZZERIA TRADITION AUS DEM HOLZOFEN Nürnberg,90480,"Zerzabelshofstraße 60, 90480 Nürnberg",4.8,674,11–20,11,20,15.5,2.25,4.715,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/LA+TRAT-TORIA+HOLZOFENPIZZERIA+TRADITION+AUS+DEM+HOLZOFEN+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f578074916b83:0x54ee20e0789636b7!8m2!3d49.444032!4d11.1137895!16s%2Fg%2F11b7lm2lsn!19sChIJg2uRdIBXn0cRtzaWeOAg7lQ?authuser=0&hl=de&rclk=1
156,Das blaue Haus - Restaurant,90461,"Allersberger Str. 185, 90461 Nürnberg",4.5,640,11–20,11,20,15.5,2.36,4.417,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Das+blaue+Haus+-+Restaurant/data=!4m7!3m6!1s0x479f576544445221:0xb9c9a345b632441!8m2!3d49.4327542!4d11.0968561!16s%2Fg%2F1tftq28k!19sChIJIVJERGVXn0cRQSRjWzSanAs?authuser=0&hl=de&rclk=1
157,Areal Burgersgarten,91126,"Badstraße 24, 91126 Schwabach",4.5,611,11–20,11,20,15.5,2.47,4.413,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Areal+Burgersgarten/data=!4m7!3m6!1s0x479f51d78003613f:0x63ff8dafa8ccd5e9!8m2!3d49.33262!4d11.00246!16s%2Fg%2F11b77bbr6h!19sChIJP2EDgNdRn0cR6dXMqK-N_2M?authuser=0&hl=de&rclk=1
158,Hotel Elch Boutique / seit 1342 / eines der ältesten Hotels in Europa und der Welt,90403,"Irrerstraße 11, 90403 Nürnberg",4.7,495,11–20,11,20,15.5,3.04,4.588,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Elch+Boutique+%2F+seit+1342+%2F+eines+der+%C3%A4ltesten+Hotels+in+Europa+und+der+Welt/data=!4m7!3m6!1s0x479f57ae40d397fd:0x7a435115f4f1f646!8m2!3d49.455437!4d11.073191!16s%2Fg%2F1td6r6wc!19sChIJ_ZfTQK5Xn0cRRvbx9BVRQ3o?authuser=0&hl=de&rclk=1
159,𝙇𝘼𝘿𝙄𝘿𝘼,90461,"Sperberstraße 72, 90461 Nürnberg",4.7,424,11–20,11,20,15.5,3.53,4.57,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/%F0%9D%99%87%F0%9D%98%BC%F0%9D%98%BF%F0%9D%99%84%F0%9D%98%BF%F0%9D%98%BC/data=!4m7!3m6!1s0x479f57f7275f09b1:0xb029213172c208ea!8m2!3d49.4316352!4d11.0861243!16s%2Fg%2F11t7byw5qq!19sChIJsQlfJ_dXn0cR6gjCcjEhKbA?authuser=0&hl=de&rclk=1
160,Gaststätte Schützenhaus Katzwang,90453,"Helmut-Bloß-Straße 4, 90453 Nürnberg",4.6,420,11–20,11,20,15.5,3.56,4.472,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gastst%C3%A4tte+Sch%C3%BCtzenhaus+Katzwang/data=!4m7!3m6!1s0x479f5067f8b1009f:0x96aa629e2939bbc1!8m2!3d49.3563194!4d11.0515527!16s%2Fg%2F11c70hk5r7!19sChIJnwCx-GdQn0cRwbs5KZ5iqpY?authuser=0&hl=de&rclk=1
161,Rainer Kerschers Imbiss,90763,"Schwabacher Str. 335, 90763 Fürth",4.6,413,11–20,11,20,15.5,3.62,4.47,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Rainer+Kerschers+Imbiss/data=!4m7!3m6!1s0x479f569acb4e09b9:0x995c673bcdbcc216!8m2!3d49.4453696!4d10.9917521!16s%2Fg%2F1tmptzpj!19sChIJuQlOy5pWn0cRFsK8zTtnXJk?authuser=0&hl=de&rclk=1
162,Kräuterhaus Wurzelsepp OHG,90403,"Hauptmarkt 1, 90403 Nürnberg",4.6,376,11–20,11,20,15.5,3.96,4.457,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kr%C3%A4uterhaus+Wurzelsepp+OHG/data=!4m7!3m6!1s0x479f57a57df6abf3:0x5464443bab850eee!8m2!3d49.453268!4d11.076627!16s%2Fg%2F1xgz9sqm!19sChIJ86v2faVXn0cR7g6FqztEZFQ?authuser=0&hl=de&rclk=1
163,Barbershop Zirndorf,90513,"Nürnberger Str. 28, 90513 Zirndorf",4.8,374,11–20,11,20,15.5,3.98,4.649,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Barbershop+Zirndorf/data=!4m7!3m6!1s0x479f55f2a9610859:0xae6831f468711fb4!8m2!3d49.4401677!4d10.9609247!16s%2Fg%2F11j3wxshnx!19sChIJWQhhqfJVn0cRtB9xaPQxaK4?authuser=0&hl=de&rclk=1
164,Hotel Schwarzes Kreuz Fürth,90762,"Königstraße 81, 90762 Fürth",4.6,366,11–20,11,20,15.5,4.06,4.454,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Schwarzes+Kreuz+F%C3%BCrth/data=!4m10!3m9!1s0x479f55951a2ab915:0xff35339a8e52dc00!5m2!4m1!1i2!8m2!3d49.477726!4d10.9894562!16s%2Fg%2F1tdnk34l!19sChIJFbkqGpVVn0cRANxSjpozNf8?authuser=0&hl=de&rclk=1
165,Restaurant Pavarotti,90471,"Neuselsbrunn 6, 90471 Nürnberg",4.6,365,11–20,11,20,15.5,4.07,4.453,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Restaurant+Pavarotti/data=!4m7!3m6!1s0x479f59e57ae201f3:0x29d9fa29863d34ac!8m2!3d49.413666!4d11.114895!16s%2Fg%2F1tl0wb9m!19sChIJ8wHieuVZn0cRrDQ9hin62Sk?authuser=0&hl=de&rclk=1
166,FIVE Diner II Ostendstraße 83,90482,"Ostendstraße 83, 90482 Nürnberg",4.7,357,11–20,11,20,15.5,4.16,4.546,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/FIVE+Diner+II+Ostendstra%C3%9Fe+83/data=!4m7!3m6!1s0x479f5788f3a727f3:0x63bc7ff1afb7a753!8m2!3d49.4543838!4d11.1143625!16s%2Fg%2F11d_tqk02v!19sChIJ8yen84hXn0cRU6e3r_F_vGM?authuser=0&hl=de&rclk=1
167,HOTEL GARNI Nürnberger Trichter,90475,"Löwenberger Str. 147, 90475 Nürnberg",4.6,356,11–20,11,20,15.5,4.17,4.45,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/HOTEL+GARNI+N%C3%BCrnberger+Trichter/data=!4m10!3m9!1s0x479f596dcc5bb6db:0x9e17232dd05104d7!5m2!4m1!1i2!8m2!3d49.4121159!4d11.1724204!16s%2Fg%2F1vxcvdmh!19sChIJ27ZbzG1Zn0cR1wRR0C0jF54?authuser=0&hl=de&rclk=1
